subject	A1	A2	B1	B2	C1	C2	DMA1	DMA2	DMB1	DMB2	DPA11	DPA12	DPA21	DPA22	DPB11	DPB12	DQB11	DQB12	DRA1	DRA2	DRB11	DRB12	DRB31	DRB32	E1	E2	F1	F2	HFE1	HFE2	K1	K2	DPB21	DPB22	W1	W2	J1	J2	L1	L2	DOB1	DOB2	DOA1	DOA2	DQA11	DQA12	DRB41	DRB42	H1	H2	DRB51	DRB52	R1	R2	V1	V2	Y1	Y2	G1	G2	T1	T2	U1	U2	S1	S2	DQB21	DQB22	DQA21	DQA22	DRB71	DRB72	N1	N2	P1	P2
SRR12794681	3243.0	3243.0	2288.0	2288.0	8255.0	8255.0	521.0	521.0	601.0	601.0	1838.0	1838.0	34.0	34.0	399.0	399.0	38.0	38.0	2451.0	2451.0	105.0	105.0	1.0	1.0	14609.0	14609.0	2813.0	2813.0	100.0	100.0	16.0	16.0	1.0	1.0	11.0	11.0	14.0	14.0	10.0	10.0	165.0	165.0	58.0	58.0	35.0	35.0	6.0	6.0	3.0	3.0	1.0	1.0																								
SRR12794682	1762.0	1762.0	1220.0	1220.0	877.0	877.0	428.0	428.0	399.0	399.0	1559.0	1559.0	19.0	19.0	434.0	434.0	1.0	1.0	1696.0	1696.0	423.0	423.0	17.0	17.0	15806.0	15806.0	2694.0	2694.0	87.0	87.0	10.0	10.0	4.0	4.0	5.0	5.0	13.0	13.0	10.0	10.0	122.0	122.0	40.0	40.0					19.0	19.0			1.0	1.0	3.0	3.0	102.0	102.0	2.0	2.0																
SRR12794683	6731.0	6731.0	9886.0	9886.0	601.0	601.0	328.0	328.0	326.0	326.0	1403.0	1403.0	14.0	14.0	226.0	226.0	239.0	239.0	1787.0	1787.0	619.0	619.0			14992.0	14992.0	2793.0	2793.0	108.0	108.0	24.0	24.0	2.0	2.0	6.0	6.0	10.0	10.0	5.0	5.0	46.0	46.0	20.0	20.0	249.0	249.0			15.0	15.0	1.0	1.0							1.0	1.0	1.0	1.0														
SRR12794684	4666.0	4666.0	368.0	368.0	289.0	289.0	371.0	371.0	492.0	492.0	1616.0	1616.0	21.0	21.0	675.0	675.0	1.0	1.0	1651.0	1651.0	55.0	55.0			12349.0	12349.0	1458.0	1458.0	90.0	90.0	11.0	11.0	1.0	1.0	23.0	23.0	10.0	10.0	5.0	5.0	103.0	103.0	23.0	23.0	4.0	4.0	6.0	6.0			4.0	4.0							1.0	1.0																
SRR12794685	12073.0	12073.0	3438.0	3438.0	24238.0	24238.0	804.0	804.0	739.0	739.0	3256.0	3256.0	11.0	11.0	2096.0	2096.0	2.0	2.0	3965.0	3965.0	86.0	86.0			16328.0	16328.0	3650.0	3650.0	99.0	99.0	2.0	2.0	5.0	5.0	42.0	42.0	21.0	21.0	31.0	31.0	87.0	87.0	42.0	42.0	4.0	4.0	6.0	6.0			3.0	3.0																								
SRR12794686	22210.0	22210.0	19178.0	19178.0	14629.0	14629.0	837.0	837.0	775.0	775.0	2826.0	2826.0	18.0	18.0	1249.0	1249.0	3185.0	3185.0	6313.0	6313.0	4154.0	4154.0	3.0	3.0	16723.0	16723.0	5307.0	5307.0	117.0	117.0	102.0	102.0			15.0	15.0	21.0	21.0	17.0	17.0	304.0	304.0	125.0	125.0	1063.0	1063.0			53.0	53.0	3509.0	3509.0			2.0	2.0			4.0	4.0	3.0	3.0	2.0	2.0												
SRR12794687	8298.0	8298.0	176.0	176.0	651.0	651.0	497.0	497.0	492.0	492.0	1577.0	1577.0	8.0	8.0	385.0	385.0	450.0	450.0	1705.0	1705.0	592.0	592.0			16630.0	16630.0	2573.0	2573.0	90.0	90.0	23.0	23.0	1.0	1.0	11.0	11.0	10.0	10.0	9.0	9.0	109.0	109.0	41.0	41.0	288.0	288.0			1.0	1.0	3.0	3.0			2.0	2.0			2.0	2.0																
SRR12794688	9384.0	9384.0	475.0	475.0	721.0	721.0	149.0	149.0	169.0	169.0	788.0	788.0	3.0	3.0	198.0	198.0	157.0	157.0	677.0	677.0	179.0	179.0			19876.0	19876.0	2215.0	2215.0	46.0	46.0	6.0	6.0			20.0	20.0	6.0	6.0			53.0	53.0	9.0	9.0	102.0	102.0			5.0	5.0	2.0	2.0							1.0	1.0	1.0	1.0														
SRR12794689	115.0	115.0	4921.0	4921.0	376.0	376.0	239.0	239.0	299.0	299.0	572.0	572.0	4.0	4.0	297.0	297.0	580.0	580.0	1226.0	1226.0	530.0	530.0			15947.0	15947.0	2565.0	2565.0	86.0	86.0	2.0	2.0	1.0	1.0			12.0	12.0	8.0	8.0	54.0	54.0	29.0	29.0	110.0	110.0	6.0	6.0			359.0	359.0			2.0	2.0			1.0	1.0																
SRR12794690	15389.0	15389.0	576.0	576.0	896.0	896.0	548.0	548.0	480.0	480.0	1770.0	1770.0	7.0	7.0	498.0	498.0	849.0	849.0	1963.0	1963.0	1198.0	1198.0			21294.0	21294.0	3429.0	3429.0	74.0	74.0	3.0	3.0			20.0	20.0	18.0	18.0	2.0	2.0	62.0	62.0	40.0	40.0	648.0	648.0			20.0	20.0					1.0	1.0					2.0	2.0	1.0	1.0												
SRR12794691	3812.0	3812.0	182.0	182.0	10631.0	10631.0	431.0	431.0	458.0	458.0	1833.0	1833.0	13.0	13.0	716.0	716.0	3.0	3.0	2224.0	2224.0	375.0	375.0			15590.0	15590.0	2832.0	2832.0	60.0	60.0	8.0	8.0	5.0	5.0	13.0	13.0	5.0	5.0	39.0	39.0	192.0	192.0	16.0	16.0	66.0	66.0	6.0	6.0	1.0	1.0	3.0	3.0																								
SRR12794692	17234.0	17234.0	14201.0	14201.0	188.0	188.0	472.0	472.0	459.0	459.0	1710.0	1710.0	4.0	4.0	92.0	92.0	618.0	618.0	1585.0	1585.0	403.0	403.0	1.0	1.0	20002.0	20002.0	3308.0	3308.0	102.0	102.0			4.0	4.0	28.0	28.0	9.0	9.0	1.0	1.0	256.0	256.0	39.0	39.0	394.0	394.0									3.0	3.0																				
SRR12794693	6565.0	6565.0	2179.0	2179.0	2108.0	2108.0	370.0	370.0	338.0	338.0	1324.0	1324.0	4.0	4.0	778.0	778.0	1602.0	1602.0	2518.0	2518.0	1299.0	1299.0	16.0	16.0	25875.0	25875.0	5284.0	5284.0	94.0	94.0	7.0	7.0			15.0	15.0	8.0	8.0	5.0	5.0	112.0	112.0	7.0	7.0	324.0	324.0			22.0	22.0	941.0	941.0			2.0	2.0					6.0	6.0	1.0	1.0												
SRR12794694	11826.0	11826.0	749.0	749.0	865.0	865.0	228.0	228.0	206.0	206.0	592.0	592.0	5.0	5.0	167.0	167.0	286.0	286.0	725.0	725.0	228.0	228.0			19511.0	19511.0	3180.0	3180.0	27.0	27.0	11.0	11.0			13.0	13.0	4.0	4.0	23.0	23.0	136.0	136.0	25.0	25.0	156.0	156.0					1.0	1.0			1.0	1.0																				
