Geneid,Ensembl,Length
A1BG,ENSG00000121410,8315
A1CF,ENSG00000148584,86308
A2M,ENSG00000175899,48566
A2ML1,ENSG00000166535,64381
A4GALT,ENSG00000128274,30289
A4GNT,ENSG00000118017,9490
AAAS,ENSG00000094914,17409
AACS,ENSG00000081760,77970
AADAC,ENSG00000114771,14987
AADACL2,ENSG00000197953,27424
AADACL3,ENSG00000188984,12651
AADAT,ENSG00000109576,31481
AAED1,,
AAGAB,ENSG00000103591,54529
AAK1,ENSG00000115977,216353
AAMDC,ENSG00000087884,97333
AAMP,ENSG00000127837,6054
AANAT,ENSG00000129673,17374
AAR2,ENSG00000131043,34788
AARD,ENSG00000205002,6281
AARS,,
AARS2,ENSG00000124608,14622
AASDH,ENSG00000157426,49530
AASDHPPT,ENSG00000149313,23208
AASS,ENSG00000008311,79907
AATF,ENSG00000275700,107950
AATK,ENSG00000181409,55737
ABAT,ENSG00000183044,109980
ABC7-42404400C24.1,,
ABCA1,ENSG00000165029,147150
ABCA10,ENSG00000154263,97633
ABCA12,ENSG00000144452,207085
ABCA13,ENSG00000179869,476040
ABCA2,ENSG00000107331,21682
ABCA3,ENSG00000167972,64872
ABCA4,ENSG00000198691,128315
ABCA5,ENSG00000154265,82934
ABCA6,ENSG00000154262,67777
ABCA7,ENSG00000064687,25576
ABCA8,ENSG00000141338,89419
ABCA9,ENSG00000154258,86462
ABCB1,ENSG00000085563,210359
ABCB10,ENSG00000135776,42376
ABCB11,ENSG00000073734,115827
ABCB4,ENSG00000005471,78740
ABCB5,ENSG00000004846,161372
ABCB6,ENSG00000115657,9247
ABCB7,ENSG00000131269,105685
ABCB8,ENSG00000197150,19361
ABCB9,ENSG00000150967,60699
ABCC1,ENSG00000103222,194120
ABCC10,ENSG00000124574,23065
ABCC11,ENSG00000121270,81796
ABCC12,ENSG00000140798,75137
ABCC2,ENSG00000023839,69955
ABCC3,ENSG00000108846,58023
ABCC4,ENSG00000125257,281988
ABCC5,ENSG00000114770,98006
ABCC6,ENSG00000091262,74073
ABCC8,ENSG00000006071,84397
ABCC9,ENSG00000069431,145155
ABCD1,ENSG00000101986,20261
ABCD2,ENSG00000173208,69771
ABCD3,ENSG00000117528,100425
ABCD4,ENSG00000119688,17787
ABCE1,ENSG00000164163,31277
ABCF1,ENSG00000204574,25787
ABCF2,ENSG00000033050,15758
ABCF3,ENSG00000161204,7919
ABCG1,ENSG00000160179,104701
ABCG2,ENSG00000118777,141669
ABCG4,ENSG00000172350,13602
ABCG5,ENSG00000138075,26394
ABCG8,ENSG00000143921,51047
ABHD1,ENSG00000143994,7024
ABHD10,ENSG00000144827,14397
ABHD11,ENSG00000106077,2773
ABHD12,ENSG00000100997,96125
ABHD12B,ENSG00000131969,32918
ABHD13,ENSG00000139826,16077
ABHD14A,ENSG00000248487,9772
ABHD14B,ENSG00000114779,14900
ABHD15,ENSG00000168792,6491
ABHD16A,ENSG00000204427,16403
ABHD16B,ENSG00000183260,1491
ABHD17A,ENSG00000129968,8809
ABHD17B,ENSG00000107362,48773
ABHD17C,ENSG00000136379,75938
ABHD2,ENSG00000140526,114897
ABHD3,ENSG00000158201,53911
ABHD4,ENSG00000100439,14715
ABHD5,ENSG00000011198,44264
ABHD6,ENSG00000163686,58178
ABHD8,ENSG00000127220,18106
ABI1,ENSG00000136754,115153
ABI2,ENSG00000138443,119477
ABI3,ENSG00000108798,12815
ABI3BP,ENSG00000154175,244361
ABL1,ENSG00000097007,174633
ABL2,ENSG00000143322,130355
ABLIM2,ENSG00000163995,193523
ABLIM3,ENSG00000173210,119060
ABR,ENSG00000159842,226220
ABRA,ENSG00000174429,10762
ABRACL,ENSG00000146386,16249
ABT1,ENSG00000146109,3787
ABTB1,ENSG00000114626,8021
ABTB2,ENSG00000166016,207024
AC004076.9,,
AC004158.1,,
AC004381.6,,
AC004556.1,,
AC004813.1,,
AC004853.1,,
AC005477.1,,
AC005480.1,,
AC006386.1,,
AC006449.1,,
AC006449.2,,
AC006994.3,,
AC007163.2,,
AC007325.1,,
AC007325.2,,
AC007906.1,,
AC008810.1,,
AC009022.1,,
AC009060.2,,
AC009758.1,,
AC010287.1,,
AC011043.1,,
AC011476.1,,
AC011476.10,,
AC011476.11,,
AC011476.12,,
AC011476.13,,
AC011476.14,,
AC011476.15,,
AC011476.16,,
AC011476.17,,
AC011476.18,,
AC011476.19,,
AC011476.2,,
AC011476.20,,
AC011476.21,,
AC011476.22,,
AC011476.23,,
AC011476.3,,
AC011476.4,,
AC011476.5,,
AC011476.6,,
AC011476.7,,
AC011476.8,,
AC011476.9,,
AC012005.3,,
AC012314.1,,
AC012314.10,,
AC012314.11,,
AC012314.12,,
AC012314.13,,
AC012314.14,,
AC012314.15,,
AC012314.16,,
AC012314.17,,
AC012314.18,,
AC012314.21,,
AC012314.22,,
AC012314.23,,
AC012314.24,,
AC012314.25,,
AC012314.26,,
AC012314.27,,
AC012314.28,,
AC012314.29,,
AC012314.3,,
AC012314.30,,
AC012314.31,,
AC012314.32,,
AC012314.33,,
AC012314.34,,
AC012314.35,,
AC012314.36,,
AC012314.37,,
AC012314.4,,
AC012314.5,,
AC012314.7,,
AC012314.9,,
AC013269.5,,
AC016142.1,,
AC016549.1,,
AC017081.1,,
